toShow,year,total
Brasil,2019,339
Brasil,2020,262
Brasil,2021,8370
Brasil,2022,3047
Chile,2019,515
Chile,2020,531
Chile,2021,9565
Chile,2022,1805
Cuba,2019,3276
Cuba,2020,245
Cuba,2021,17603
Cuba,2022,5961
Ecuador,2019,10
Ecuador,2020,40
Ecuador,2021,287
Ecuador,2022,29356
Haití,2019,10510
Haití,2020,4538
Haití,2021,78468
Haití,2022,22435
Otros Paises,2019,9243
Otros Paises,2020,780
Otros Paises,2021,9229
Otros Paises,2022,35353
Venezuela,2019,75
Venezuela,2020,69
Venezuela,2021,2277
Venezuela,2022,150327
